path	branch	origin
/Users/xuhao/Documents/Basic/ai		https://github.com/vercel/ai.git
/Users/xuhao/Documents/Basic/armor	codex/ozoneschema	git@code.devops.xiaohongshu.com:fe/armor.git
/Users/xuhao/Documents/Basic/aurora	master	git@code.devops.xiaohongshu.com:fe/shopping/aurora.git
/Users/xuhao/Documents/Basic/claude-code-proxy	feat/init	git@code.devops.xiaohongshu.com:fe/shopping/claude-code-proxy.git
/Users/xuhao/Documents/Basic/context-vault	main	git@github.com:WebXuHao/context-vault.git
/Users/xuhao/Documents/Basic/open-pro-rn	feat/product-list	git@code.devops.xiaohongshu.com:xuhao2/open-pro-rn.git
/Users/xuhao/Documents/Basic/redvip	feature/member-activity-lottery	git@code.devops.xiaohongshu.com:fulishe-idls/redvip.git
/Users/xuhao/Documents/Basic/redvip-service	feature/member-activity-lottery	git@code.devops.xiaohongshu.com:fulishe-services/redvip.git
/Users/xuhao/Documents/Basic/udtf_maven	feat/init	git@code.devops.xiaohongshu.com:fe/shopping/udtf_maven.git
/Users/xuhao/Documents/Basic/vibe-marketing-rn	feat/lifeisbbq	git@code.devops.xiaohongshu.com:fe/shopping/vibe-marketing-rn.git
/Users/xuhao/Documents/Basic/vibe-marketing-rn/org-knowledge	feat/knowledge-XuHao-init-20260526	git@code.devops.xiaohongshu.com:fe/shopping/org-knowledge.git
/Users/xuhao/Documents/Basic/vibe-rn	master	git@code.devops.xiaohongshu.com:fe/shopping/vibe-rn.git
/Users/xuhao/Documents/Basic/wakanda-rn-monorepo	main	git@code.devops.xiaohongshu.com:fe/shopping/wakanda-rn-monorepo.git
/Users/xuhao/Documents/Codex/2026-06-15/files-mentioned-by-the-user-ai/work/skills	main	git@github.com:WebXuHao/skills.git
/Users/xuhao/Documents/Codex/github/skills	main	https://github.com/WebXuHao/skills.git
/Users/xuhao/Documents/Other/Folo	dev	https://github.com/RSSNext/Folo.git
/Users/xuhao/Documents/Other/Kode	main	https://github.com/shareAI-lab/Kode.git
/Users/xuhao/Documents/Other/analysis_claude_code	main	https://github.com/shareAI-lab/analysis_claude_code.git
/Users/xuhao/Documents/Other/claude-code-reverse	main	https://github.com/Yuyz0112/claude-code-reverse.git
/Users/xuhao/Documents/Other/context-infrastructure	main	git@github.com:WebXuHao/context-infrastructure.git
/Users/xuhao/Documents/Other/context-infrastructure/adhoc_jobs/tmp_ai_context_sync_spike/memories	main	https://github.com/webrenew/memories.git
/Users/xuhao/Documents/Other/context-infrastructure/adhoc_jobs/tmp_anysearch_skill	main	https://github.com/anysearch-ai/anysearch-skill.git
/Users/xuhao/Documents/Other/context-infrastructure/adhoc_jobs/tmp_cockpit_tools_audit	main	https://github.com/jlcodes99/cockpit-tools.git
/Users/xuhao/Documents/Other/context-infrastructure/adhoc_jobs/tmp_memoir_spike/memoir	main	https://github.com/camgitt/memoir.git
/Users/xuhao/Documents/Other/context-infrastructure/adhoc_jobs/tmp_papr	main	https://github.com/l0ng-ai/papr.git
/Users/xuhao/Documents/Other/context-infrastructure/tmp/2026_06_18_devspace_survey/repo	main	https://github.com/Waishnav/devspace.git
/Users/xuhao/Documents/Other/context-infrastructure/tmp/birdclaw_survey_20260623/repo	main	https://github.com/steipete/birdclaw.git
/Users/xuhao/Documents/Other/context-infrastructure/tmp/openbook_context/openbook	main	https://github.com/dawei008/openbook.git
/Users/xuhao/Documents/Other/mindspace_app	main	https://github.com/NolanSoloBuilder/mindspace_app.git
/Users/xuhao/Documents/Other/mindspace_backend	feat_codex/source-taxonomy-detail-columns-20260626	git@github.com:NolanSoloBuilder/mindspace_backend.git
/Users/xuhao/Documents/Other/mindspace_ml_backend	preview	git@github.com:NolanSoloBuilder/mindspace_ml_backend.git
/Users/xuhao/Documents/Other/mindspace_web_frontend	feat_codex/source-docs-rules-preview-20260626	git@github.com:NolanSoloBuilder/mindspace_web_frontend.git
/Users/xuhao/Documents/Other/obsidian-rss-dashboard	master	https://github.com/amatya-aditya/obsidian-rss-dashboard
/Users/xuhao/Documents/Other/podnote_recovered_20260707	main	git@github.com:NolanSoloBuilder/podnote-source-recovered.git
/Users/xuhao/Documents/Other/rimbo-work-context	main	git@github.com:Mindspace-ai/rimbo-work-context.git
/Users/xuhao/Documents/Other/source-notes	main	https://github.com/NolanSoloBuilder/source-notes.git
/Users/xuhao/Documents/Other/test	main	git@code.devops.xiaohongshu.com:xuhao2/qrcode-test.git
/Users/xuhao/Documents/Other/zeepbot	main	git@github.com:zeep-bot/zeepbot.git
/Users/xuhao/Documents/explore/rudder	main	https://github.com/Undertone0809/rudder.git
/Users/xuhao/Documents/red_backend/mkt	feature/20260521_portal_data	git@code.devops.xiaohongshu.com:fulishe-services/mkt.git
/Users/xuhao/Documents/red_backend/redvip	master	git@code.devops.xiaohongshu.com:fulishe-services/redvip.git
/Users/xuhao/Documents/red_idl/mkt	feature/20260521_portal_data	git@code.devops.xiaohongshu.com:fulishe-idls/mkt.git
